,Date to Expired,Date,S50U21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
94,94,2021-05-12,945.2,950,31.0,39.9,70.9,21.0,29.3,50.3,955.02,956.92,942.52,952.55,0.2073968760464241
95,95,2021-05-11,951.4,950,35.0,36.0,71.0,23.0,27.3,50.3,952.2,962.01,948.27,956.97,0.20890420353613465
96,96,2021-05-10,953.1,950,33.6,32.8,66.4,22.0,24.4,46.4,965.46,965.58,950.64,959.45,0.21238783225382038
97,97,2021-05-07,949.9,950,34.0,35.5,69.5,21.4,28.9,50.3,953.17,958.56,949.03,955.8,0.2149989853783983
98,98,2021-05-06,935.6,925,45.5,34.5,80.0,29.8,23.0,52.8,932.35,949.14,930.77,945.55,0.2157563644374697
99,99,2021-05-05,915.7,925,32.0,37.2,69.2,20.3,27.0,47.3,953.45,954.62,928.03,929.63,0.21557903068960454
100,100,2021-04-30,951.9,950,36.7,35.0,71.7,25.2,23.8,49.0,964.17,965.24,955.45,955.97,0.21373497978904313
101,101,2021-04-29,958.7,950,40.5,31.0,71.5,27.2,21.0,48.2,959.61,966.44,958.73,964.55,0.21402242205762612
102,102,2021-04-28,945.7,950,34.0,38.2,72.2,22.0,25.0,47.0,946.51,955.32,944.21,954.24,0.21378571010382397
103,103,2021-04-27,935.6,925,37.2,29.0,66.2,27.9,20.0,47.9,945.76,949.44,938.95,943.34,0.2139165615312226
104,104,2021-04-26,937.0,925,40.3,29.0,69.3,30.0,18.1,48.1,941.86,946.06,935.96,943.92,0.2261240239945042
105,105,2021-04-23,934.9,925,38.2,29.0,67.2,29.0,20.5,49.5,949.54,949.78,940.29,942.63,0.2261348929894439
106,106,2021-04-22,946.0,950,33.5,39.0,72.5,22.8,26.0,48.8,964.88,966.02,949.77,952.58,0.2286046429960954
107,107,2021-04-21,954.2,950,39.8,34.5,74.3,26.6,22.2,48.8,959.98,965.65,958.89,961.89,0.22950777678063267
108,108,2021-04-20,956.0,950,39.3,34.5,73.8,27.5,24.0,51.5,958.88,965.01,956.46,963.94,0.23219512343448062
109,109,2021-04-19,951.5,950,37.0,35.0,72.0,26.6,25.0,51.6,949.65,961.54,947.0,960.33,0.232656837477608
110,110,2021-04-16,939.5,950,31.3,43.0,74.3,20.5,30.1,50.6,945.53,947.07,937.1,946.5,0.23227535905031657
111,111,2021-04-12,936.1,925,40.7,32.9,73.6,29.0,21.7,50.7,952.53,953.0,938.94,941.08,0.2325047541202301
112,112,2021-04-09,947.1,950,35.0,36.9,71.9,25.0,24.8,49.8,952.33,960.11,951.97,955.9,0.2375727873816104
113,113,2021-04-08,941.8,950,33.0,40.1,73.1,21.0,27.7,48.7,948.51,954.24,947.4,950.04,0.2379891139821051
114,114,2021-04-07,942.4,950,33.0,39.4,72.4,22.0,27.7,49.7,956.32,960.28,949.45,950.22,0.26106493154387805
115,115,2021-04-05,958.0,950,39.9,33.0,72.9,28.7,22.5,51.2,977.68,979.38,961.79,964.71,0.2749129467536323
116,116,2021-04-02,967.4,975,33.0,41.5,74.5,24.0,28.8,52.8,980.78,983.18,975.17,976.13,0.2746155248939578
117,117,2021-04-01,964.8,975,35.0,43.0,78.0,24.9,31.3,56.2,975.6,980.06,971.42,975.66,0.27492834082455414
118,118,2021-03-31,960.8,950,44.2,34.0,78.2,32.1,20.8,52.900000000000006,974.15,975.28,969.28,971.24,0.27511454513430156
119,119,2021-03-30,963.9,975,38.5,48.0,86.5,24.2,31.5,55.7,971.49,976.17,968.91,972.7,0.2876967910467725
120,120,2021-03-29,961.6,950,0.0,0.0,0.0,,,,968.29,975.11,966.74,967.69,0.28914280105328916
