Date,Open,High,Low,Close
2020-06-25,870.02,875.85,861.47,874.96
2020-06-26,881.97,888.22,876.06,878.61
2020-06-29,871.03,878.76,865.37,878.64
2020-06-30,889.87,895.10,885.15,885.15
2020-07-01,889.71,892.96,878.59,892.30
2020-07-02,898.28,914.19,895.86,912.22
2020-07-03,914.01,915.50,907.29,908.49
2020-07-07,920.05,922.66,907.90,907.90
2020-07-08,906.18,912.19,897.52,898.45
2020-07-09,901.78,904.85,894.33,899.93
2020-07-10,892.86,896.94,882.13,885.71
2020-07-13,894.04,895.19,876.30,878.65
2020-07-14,871.20,880.64,866.57,879.13
2020-07-15,887.11,891.97,882.13,888.98
2020-07-16,888.20,890.87,879.63,883.16
2020-07-17,886.46,893.42,883.58,892.09
2020-07-20,890.77,896.79,885.54,890.04
2020-07-21,896.86,906.57,895.92,904.21
2020-07-22,906.34,907.58,889.21,889.48
2020-07-23,888.74,894.24,882.61,890.70
2020-07-24,881.01,882.71,872.38,875.50
2020-07-29,878.20,881.21,870.06,871.41
2020-07-30,875.48,876.71,851.90,854.12
2020-07-31,852.92,863.07,844.39,862.98
2020-08-03,858.84,859.45,847.64,852.67
2020-08-04,859.93,865.54,857.74,860.32
2020-08-05,863.28,868.94,856.96,865.49
2020-08-06,863.65,872.54,863.35,864.05
2020-08-07,862.48,863.57,854.28,856.88
2020-08-10,858.65,860.91,853.82,853.92
2020-08-11,863.19,870.99,861.13,866.77
2020-08-13,876.64,880.89,874.82,878.70
2020-08-14,877.43,879.38,861.87,863.69
2020-08-17,866.29,867.93,856.66,861.25
2020-08-18,861.06,867.95,860.63,867.86
2020-08-19,868.69,869.55,846.43,850.57
2020-08-20,841.66,847.32,838.10,840.28
2020-08-21,847.14,848.96,838.21,840.07
2020-08-24,844.78,853.83,839.50,852.29
2020-08-25,859.14,861.85,853.29,853.89
2020-08-26,854.87,858.38,848.73,856.64
2020-08-27,856.10,863.14,854.51,858.66
2020-08-28,865.30,867.45,852.87,855.29
2020-08-31,859.55,863.28,843.49,844.22
2020-09-01,846.41,849.17,838.14,841.66
2020-09-02,840.34,848.12,837.36,847.56
2020-09-03,850.08,851.65,841.60,844.60
2020-09-08,840.41,840.65,831.47,832.91
2020-09-09,821.94,833.16,819.85,831.54
2020-09-10,832.31,835.20,826.35,830.25
2020-09-11,829.00,833.53,822.50,823.64
2020-09-14,827.99,829.15,817.09,818.43
2020-09-15,822.26,828.44,819.13,827.38
2020-09-16,827.59,834.79,825.18,832.88
2020-09-17,828.74,831.22,822.17,825.66
2020-09-18,827.91,831.07,821.19,826.83
2020-09-21,830.08,831.47,814.24,815.81
2020-09-22,812.66,815.25,805.49,808.83
2020-09-23,811.27,812.14,801.80,802.30
2020-09-24,795.26,798.13,784.04,787.21
2020-09-25,789.81,794.22,783.53,786.03
2020-09-28,790.56,803.25,790.45,802.03
2020-09-29,804.40,805.19,793.61,796.43
2020-09-30,797.46,798.54,780.61,781.06
2020-10-01,786.49,791.02,777.61,788.02
2020-10-02,785.07,785.75,772.78,777.31
2020-10-05,783.52,785.56,778.07,781.81
2020-10-06,788.32,792.25,785.10,787.62
2020-10-07,785.08,798.08,782.21,797.43
2020-10-08,801.81,810.61,799.45,804.96
2020-10-09,808.18,809.17,797.89,800.79
2020-10-12,801.79,808.69,797.87,804.59
2020-10-14,800.31,801.91,790.40,794.81
2020-10-15,787.60,790.65,779.99,782.02
2020-10-16,783.74,785.44,771.77,776.50
2020-10-19,768.22,769.28,757.33,760.94
2020-10-20,757.61,767.63,753.63,760.71
2020-10-21,765.40,769.14,760.64,765.10
2020-10-22,762.96,771.22,755.75,762.68
2020-10-26,761.79,762.80,755.42,757.85
2020-10-27,751.57,761.47,748.23,758.72
2020-10-28,756.84,764.39,754.70,756.02
2020-10-29,750.49,755.49,746.81,751.14
2020-10-30,753.06,753.25,739.95,746.26
2020-11-02,747.17,751.63,743.57,750.87
